participant_id,participant_number,session_id,protocol_version,latin_square_row,source_list_id,presented_run_number,canonical_list_seed,run_id,trial_index_global,trial_index_run,visibility,audio_condition,condition_code,image_object,image_label,exemplar_id,image_path,occlusion_level,occlusion_pattern_id,audio_object,audio_label,audio_path,is_congruent,correct_response,accepted_responses,fixation_ms_planned,image_duration_ms_planned,silent_delay_ms_planned,response_window_ms,iti_ms,is_practice,random_seed
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,1,occluded,none,21,bowl,bowl,bowl_ex04,stimuli_final_candidates/occluded_70/bowl/bowl_ex04_occ70.png,70,occ_01,,,,,bowl,bowl,800,1000,600,2000,887,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,2,occluded,incongruent,23,bowl,bowl,bowl_ex02,stimuli_final_candidates/occluded_70/bowl/bowl_ex02_occ70.png,70,occ_01,cup,cup,assets/audio/spoken/cup.wav,0,bowl,bowl,800,1000,600,2000,1169,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,3,occluded,none,21,cup,cup,cup_ex01,stimuli_final_candidates/occluded_70/cup/cup_ex01_occ70.png,70,occ_01,,,,,cup,cup,800,1000,600,2000,915,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,4,visible,congruent,12,spoon,spoon,spoon_ex03,stimuli_final_candidates/clear/spoon/spoon_ex03_clear.png,,,spoon,spoon,assets/audio/spoken/spoon.wav,1,spoon,spoon,800,1000,600,2000,909,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,5,occluded,incongruent,23,plate,plate,plate_ex01,stimuli_final_candidates/occluded_70/plate/plate_ex01_occ70.png,70,occ_01,fork,fork,assets/audio/spoken/fork.wav,0,plate,plate,800,1000,600,2000,965,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,6,occluded,congruent,22,spoon,spoon,spoon_ex02,stimuli_final_candidates/occluded_70/spoon/spoon_ex02_occ70.png,70,occ_01,spoon,spoon,assets/audio/spoken/spoon.wav,1,spoon,spoon,800,1000,600,2000,1173,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,7,occluded,incongruent,23,cup,cup,cup_ex03,stimuli_final_candidates/occluded_70/cup/cup_ex03_occ70.png,70,occ_01,plate,plate,assets/audio/spoken/plate.wav,0,cup,cup,800,1000,600,2000,1039,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,8,visible,incongruent,13,bowl,bowl,bowl_ex03,stimuli_final_candidates/clear/bowl/bowl_ex03_clear.png,,,cup,cup,assets/audio/spoken/cup.wav,0,bowl,bowl,800,1000,600,2000,919,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,9,visible,none,11,plate,plate,plate_ex04,stimuli_final_candidates/clear/plate/plate_ex04_clear.png,,,,,,,plate,plate,800,1000,600,2000,1025,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,10,visible,congruent,12,knife,knife,knife_ex02,stimuli_final_candidates/clear/knife/knife_ex02_clear.png,,,knife,knife,assets/audio/spoken/knife.wav,1,knife,knife,800,1000,600,2000,1040,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,11,occluded,none,21,spoon,spoon,spoon_ex02,stimuli_final_candidates/occluded_70/spoon/spoon_ex02_occ70.png,70,occ_01,,,,,spoon,spoon,800,1000,600,2000,1108,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,12,visible,incongruent,13,plate,plate,plate_ex01,stimuli_final_candidates/clear/plate/plate_ex01_clear.png,,,knife,knife,assets/audio/spoken/knife.wav,0,plate,plate,800,1000,600,2000,858,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,13,visible,none,11,fork,fork,fork_ex01,stimuli_final_candidates/clear/fork/fork_ex01_clear.png,,,,,,,fork,fork,800,1000,600,2000,1111,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,14,occluded,congruent,22,knife,knife,knife_ex04,stimuli_final_candidates/occluded_70/knife/knife_ex04_occ70.png,70,occ_01,knife,knife,assets/audio/spoken/knife.wav,1,knife,knife,800,1000,600,2000,926,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,15,visible,incongruent,13,knife,knife,knife_ex03,stimuli_final_candidates/clear/knife/knife_ex03_clear.png,,,spoon,spoon,assets/audio/spoken/spoon.wav,0,knife,knife,800,1000,600,2000,1133,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,16,occluded,congruent,22,cup,cup,cup_ex02,stimuli_final_candidates/occluded_70/cup/cup_ex02_occ70.png,70,occ_01,cup,cup,assets/audio/spoken/cup.wav,1,cup,cup,800,1000,600,2000,1129,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,17,occluded,congruent,22,spoon,spoon,spoon_ex03,stimuli_final_candidates/occluded_70/spoon/spoon_ex03_occ70.png,70,occ_01,spoon,spoon,assets/audio/spoken/spoon.wav,1,spoon,spoon,800,1000,600,2000,949,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,18,visible,none,11,cup,cup,cup_ex02,stimuli_final_candidates/clear/cup/cup_ex02_clear.png,,,,,,,cup,cup,800,1000,600,2000,965,0,27062026
,,,v3_formal_six_objects_70occ,,A,,27062026,A,,19,occluded,none,21,fork,fork,fork_ex01,stimuli_final_candidates/occluded_70/fork/fork_ex01_occ70.png,70,occ_01,,,,,fork,fork,800,1000,600,2000,862,0,27062026
