participant_id,participant_number,session_id,protocol_version,latin_square_row,source_list_id,presented_run_number,canonical_list_seed,run_id,trial_index_global,trial_index_run,visibility,audio_condition,condition_code,image_object,image_label,exemplar_id,image_path,occlusion_level,occlusion_pattern_id,audio_object,audio_label,audio_path,is_congruent,correct_response,accepted_responses,fixation_ms_planned,image_duration_ms_planned,silent_delay_ms_planned,response_window_ms,iti_ms,is_practice,random_seed
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,1,visible,incongruent,13,bowl,bowl,bowl_ex02,stimuli_final_candidates/clear/bowl/bowl_ex02_clear.png,,,fork,fork,assets/audio/spoken/fork.wav,0,bowl,bowl,800,1000,600,2000,867,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,2,occluded,congruent,22,bowl,bowl,bowl_ex04,stimuli_final_candidates/occluded_70/bowl/bowl_ex04_occ70.png,70,occ_01,bowl,bowl,assets/audio/spoken/bowl.wav,1,bowl,bowl,800,1000,600,2000,952,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,3,occluded,congruent,22,fork,fork,fork_ex03,stimuli_final_candidates/occluded_70/fork/fork_ex03_occ70.png,70,occ_01,fork,fork,assets/audio/spoken/fork.wav,1,fork,fork,800,1000,600,2000,811,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,4,visible,none,11,cup,cup,cup_ex04,stimuli_final_candidates/clear/cup/cup_ex04_clear.png,,,,,,,cup,cup,800,1000,600,2000,886,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,5,occluded,none,21,bowl,bowl,bowl_ex03,stimuli_final_candidates/occluded_70/bowl/bowl_ex03_occ70.png,70,occ_01,,,,,bowl,bowl,800,1000,600,2000,936,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,6,visible,incongruent,13,bowl,bowl,bowl_ex01,stimuli_final_candidates/clear/bowl/bowl_ex01_clear.png,,,knife,knife,assets/audio/spoken/knife.wav,0,bowl,bowl,800,1000,600,2000,884,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,7,occluded,congruent,22,spoon,spoon,spoon_ex04,stimuli_final_candidates/occluded_70/spoon/spoon_ex04_occ70.png,70,occ_01,spoon,spoon,assets/audio/spoken/spoon.wav,1,spoon,spoon,800,1000,600,2000,900,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,8,occluded,incongruent,23,knife,knife,knife_ex03,stimuli_final_candidates/occluded_70/knife/knife_ex03_occ70.png,70,occ_01,bowl,bowl,assets/audio/spoken/bowl.wav,0,knife,knife,800,1000,600,2000,1198,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,9,visible,incongruent,13,fork,fork,fork_ex02,stimuli_final_candidates/clear/fork/fork_ex02_clear.png,,,plate,plate,assets/audio/spoken/plate.wav,0,fork,fork,800,1000,600,2000,1174,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,10,occluded,incongruent,23,knife,knife,knife_ex04,stimuli_final_candidates/occluded_70/knife/knife_ex04_occ70.png,70,occ_01,cup,cup,assets/audio/spoken/cup.wav,0,knife,knife,800,1000,600,2000,1052,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,11,visible,none,11,plate,plate,plate_ex02,stimuli_final_candidates/clear/plate/plate_ex02_clear.png,,,,,,,plate,plate,800,1000,600,2000,984,0,27062026
,,,v3_formal_six_objects_70occ,,B,,27062026,B,,12,visible,incongruent,13,cup,cup,cup_ex02,stimuli_final_candidates/clear/cup/cup_ex02_clear.png,,,fork,fork,assets/audio/spoken/fork.wav,0,cup,cup,800,1000,600,2000,1155,0,27062026
