participant_id,participant_number,session_id,protocol_version,latin_square_row,source_list_id,presented_run_number,canonical_list_seed,run_id,trial_index_global,trial_index_run,visibility,audio_condition,condition_code,image_object,image_label,exemplar_id,image_path,occlusion_level,occlusion_pattern_id,audio_object,audio_label,audio_path,is_congruent,correct_response,accepted_responses,fixation_ms_planned,image_duration_ms_planned,silent_delay_ms_planned,response_window_ms,iti_ms,is_practice,random_seed
,,,v3_formal_six_objects_70occ,,C,,27062026,C,,1,visible,congruent,12,cup,cup,cup_ex04,stimuli_final_candidates/clear/cup/cup_ex04_clear.png,,,cup,cup,assets/audio/spoken/cup.wav,1,cup,cup,800,1000,600,2000,916,0,27062026
,,,v3_formal_six_objects_70occ,,C,,27062026,C,,2,occluded,incongruent,23,fork,fork,fork_ex03,stimuli_final_candidates/occluded_70/fork/fork_ex03_occ70.png,70,occ_01,spoon,spoon,assets/audio/spoken/spoon.wav,0,fork,fork,800,1000,600,2000,1189,0,27062026
,,,v3_formal_six_objects_70occ,,C,,27062026,C,,3,visible,none,11,plate,plate,plate_ex04,stimuli_final_candidates/clear/plate/plate_ex04_clear.png,,,,,,,plate,plate,800,1000,600,2000,892,0,27062026
,,,v3_formal_six_objects_70occ,,C,,27062026,C,,4,occluded,congruent,22,knife,knife,knife_ex01,stimuli_final_candidates/occluded_70/knife/knife_ex01_occ70.png,70,occ_01,knife,knife,assets/audio/spoken/knife.wav,1,knife,knife,800,1000,600,2000,869,0,27062026
,,,v3_formal_six_objects_70occ,,C,,27062026,C,,5,occluded,congruent,22,cup,cup,cup_ex02,stimuli_final_candidates/occluded_70/cup/cup_ex02_occ70.png,70,occ_01,cup,cup,assets/audio/spoken/cup.wav,1,cup,cup,800,1000,600,2000,1115,0,27062026
,,,v3_formal_six_objects_70occ,,C,,27062026,C,,6,occluded,incongruent,23,spoon,spoon,spoon_ex04,stimuli_final_candidates/occluded_70/spoon/spoon_ex04_occ70.png,70,occ_01,bowl,bowl,assets/audio/spoken/bowl.wav,0,spoon,spoon,800,1000,600,2000,907,0,27062026
,,,v3_formal_six_objects_70occ,,C,,27062026,C,,7,occluded,none,21,cup,cup,cup_ex02,stimuli_final_candidates/occluded_70/cup/cup_ex02_occ70.png,70,occ_01,,,,,cup,cup,800,1000,600,2000,835,0,27062026
,,,v3_formal_six_objects_70occ,,C,,27062026,C,,8,visible,incongruent,13,spoon,spoon,spoon_ex01,stimuli_final_candidates/clear/spoon/spoon_ex01_clear.png,,,bowl,bowl,assets/audio/spoken/bowl.wav,0,spoon,spoon,800,1000,600,2000,1013,0,27062026
,,,v3_formal_six_objects_70occ,,C,,27062026,C,,9,visible,incongruent,13,plate,plate,plate_ex02,stimuli_final_candidates/clear/plate/plate_ex02_clear.png,,,knife,knife,assets/audio/spoken/knife.wav,0,plate,plate,800,1000,600,2000,1107,0,27062026
,,,v3_formal_six_objects_70occ,,C,,27062026,C,,10,visible,incongruent,13,knife,knife,knife_ex02,stimuli_final_candidates/clear/knife/knife_ex02_clear.png,,,plate,plate,assets/audio/spoken/plate.wav,0,knife,knife,800,1000,600,2000,1002,0,27062026
