participant_id,participant_number,session_id,protocol_version,latin_square_row,source_list_id,presented_run_number,canonical_list_seed,run_id,trial_index_global,trial_index_run,visibility,audio_condition,condition_code,image_object,image_label,exemplar_id,image_path,occlusion_level,occlusion_pattern_id,audio_object,audio_label,audio_path,is_congruent,correct_response,accepted_responses,fixation_ms_planned,image_duration_ms_planned,silent_delay_ms_planned,response_window_ms,iti_ms,is_practice,random_seed
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,1,occluded,none,21,bowl,bowl,bowl_ex03,stimuli_final_candidates/occluded_70/bowl/bowl_ex03_occ70.png,70,occ_01,,,,,bowl,bowl,800,1000,600,2000,844,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,2,visible,incongruent,13,plate,plate,plate_ex04,stimuli_final_candidates/clear/plate/plate_ex04_clear.png,,,fork,fork,assets/audio/spoken/fork.wav,0,plate,plate,800,1000,600,2000,945,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,3,visible,none,11,bowl,bowl,bowl_ex03,stimuli_final_candidates/clear/bowl/bowl_ex03_clear.png,,,,,,,bowl,bowl,800,1000,600,2000,1020,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,4,occluded,congruent,22,cup,cup,cup_ex01,stimuli_final_candidates/occluded_70/cup/cup_ex01_occ70.png,70,occ_01,cup,cup,assets/audio/spoken/cup.wav,1,cup,cup,800,1000,600,2000,921,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,5,occluded,none,21,spoon,spoon,spoon_ex04,stimuli_final_candidates/occluded_70/spoon/spoon_ex04_occ70.png,70,occ_01,,,,,spoon,spoon,800,1000,600,2000,981,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,6,occluded,incongruent,23,cup,cup,cup_ex01,stimuli_final_candidates/occluded_70/cup/cup_ex01_occ70.png,70,occ_01,plate,plate,assets/audio/spoken/plate.wav,0,cup,cup,800,1000,600,2000,800,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,7,visible,none,11,spoon,spoon,spoon_ex01,stimuli_final_candidates/clear/spoon/spoon_ex01_clear.png,,,,,,,spoon,spoon,800,1000,600,2000,1172,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,8,occluded,congruent,22,bowl,bowl,bowl_ex03,stimuli_final_candidates/occluded_70/bowl/bowl_ex03_occ70.png,70,occ_01,bowl,bowl,assets/audio/spoken/bowl.wav,1,bowl,bowl,800,1000,600,2000,1200,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,9,visible,incongruent,13,bowl,bowl,bowl_ex01,stimuli_final_candidates/clear/bowl/bowl_ex01_clear.png,,,cup,cup,assets/audio/spoken/cup.wav,0,bowl,bowl,800,1000,600,2000,1031,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,10,occluded,congruent,22,fork,fork,fork_ex04,stimuli_final_candidates/occluded_70/fork/fork_ex04_occ70.png,70,occ_01,fork,fork,assets/audio/spoken/fork.wav,1,fork,fork,800,1000,600,2000,1183,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,11,occluded,none,21,cup,cup,cup_ex03,stimuli_final_candidates/occluded_70/cup/cup_ex03_occ70.png,70,occ_01,,,,,cup,cup,800,1000,600,2000,890,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,12,visible,incongruent,13,cup,cup,cup_ex02,stimuli_final_candidates/clear/cup/cup_ex02_clear.png,,,plate,plate,assets/audio/spoken/plate.wav,0,cup,cup,800,1000,600,2000,1139,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,13,visible,incongruent,13,spoon,spoon,spoon_ex02,stimuli_final_candidates/clear/spoon/spoon_ex02_clear.png,,,bowl,bowl,assets/audio/spoken/bowl.wav,0,spoon,spoon,800,1000,600,2000,875,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,14,occluded,congruent,22,spoon,spoon,spoon_ex04,stimuli_final_candidates/occluded_70/spoon/spoon_ex04_occ70.png,70,occ_01,spoon,spoon,assets/audio/spoken/spoon.wav,1,spoon,spoon,800,1000,600,2000,1079,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,15,occluded,congruent,22,plate,plate,plate_ex01,stimuli_final_candidates/occluded_70/plate/plate_ex01_occ70.png,70,occ_01,plate,plate,assets/audio/spoken/plate.wav,1,plate,plate,800,1000,600,2000,1113,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,16,visible,incongruent,13,knife,knife,knife_ex01,stimuli_final_candidates/clear/knife/knife_ex01_clear.png,,,spoon,spoon,assets/audio/spoken/spoon.wav,0,knife,knife,800,1000,600,2000,1066,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,17,visible,congruent,12,cup,cup,cup_ex01,stimuli_final_candidates/clear/cup/cup_ex01_clear.png,,,cup,cup,assets/audio/spoken/cup.wav,1,cup,cup,800,1000,600,2000,968,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,18,occluded,incongruent,23,cup,cup,cup_ex02,stimuli_final_candidates/occluded_70/cup/cup_ex02_occ70.png,70,occ_01,knife,knife,assets/audio/spoken/knife.wav,0,cup,cup,800,1000,600,2000,815,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,19,occluded,none,21,spoon,spoon,spoon_ex03,stimuli_final_candidates/occluded_70/spoon/spoon_ex03_occ70.png,70,occ_01,,,,,spoon,spoon,800,1000,600,2000,895,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,20,visible,none,11,knife,knife,knife_ex02,stimuli_final_candidates/clear/knife/knife_ex02_clear.png,,,,,,,knife,knife,800,1000,600,2000,1114,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,21,visible,none,11,knife,knife,knife_ex03,stimuli_final_candidates/clear/knife/knife_ex03_clear.png,,,,,,,knife,knife,800,1000,600,2000,1011,0,27062026
,,,v3_formal_six_objects_70occ,,F,,27062026,F,,22,visible,none,11,cup,cup,cup_ex04,stimuli_final_candidates/clear/cup/cup_ex04_clear.png,,,,,,,cup,cup,800,1000,600,2000,969,0,27062026
